Qualtrics.RID,Block,Choice.Task,Alternative,Chosen.Alternative,Choice.Binary,chemical,training,support,cost,Demo_Age,Demo_Gender,Demo_Education,Demo_Education.Text,Farm_Land.Size,Farm_Tenure,Farm_Tenure.Text,Baseline_Fert.kg,Baseline_Herbicide,RecordedDate,Consent
R_1LXjeHhW1XNZRwa,2,16,2,2,1,1,3,2,22,NA,2,4,NA,4,4,Diam arcu volutpat sollicitudin. Bibendum dignissim urna in mattis nullam urna aliquam! Neque! Accumsan diam.,NA,NA,2026-07-30T22:53:40Z,1
R_1LXjeHhW1XNZRwa,2,16,3,2,0,0,0,0,0,NA,2,4,NA,4,4,Diam arcu volutpat sollicitudin. Bibendum dignissim urna in mattis nullam urna aliquam! Neque! Accumsan diam.,NA,NA,2026-07-30T22:53:40Z,1
R_1LXjeHhW1XNZRwa,2,9,1,3,0,1,3,1,113,NA,2,4,NA,4,4,Diam arcu volutpat sollicitudin. Bibendum dignissim urna in mattis nullam urna aliquam! Neque! Accumsan diam.,NA,NA,2026-07-30T22:53:40Z,1
R_1LXjeHhW1XNZRwa,2,9,2,3,0,2,2,3,11,NA,2,4,NA,4,4,Diam arcu volutpat sollicitudin. Bibendum dignissim urna in mattis nullam urna aliquam! Neque! Accumsan diam.,NA,NA,2026-07-30T22:53:40Z,1
R_1LXjeHhW1XNZRwa,2,9,3,3,1,0,0,0,0,NA,2,4,NA,4,4,Diam arcu volutpat sollicitudin. Bibendum dignissim urna in mattis nullam urna aliquam! Neque! Accumsan diam.,NA,NA,2026-07-30T22:53:40Z,1
R_1N6KOFeEBGI86cC,2,10,1,2,0,2,3,3,113,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,10,2,2,1,3,1,1,11,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,10,3,2,0,0,0,0,0,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,11,1,3,0,2,3,1,11,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,11,2,3,0,3,1,3,113,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,11,3,3,1,0,0,0,0,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,12,1,3,0,1,1,3,11,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,12,2,3,0,3,3,2,113,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,12,3,3,1,0,0,0,0,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,13,1,3,0,3,1,2,22,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,13,2,3,0,1,2,1,84,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,13,3,3,1,0,0,0,0,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,14,1,1,1,3,3,1,22,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,14,2,1,0,1,2,3,84,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,14,3,1,0,0,0,0,0,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,15,1,1,1,3,1,3,113,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,15,2,1,0,2,3,2,11,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,15,3,1,0,0,0,0,0,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,16,1,1,1,2,1,1,84,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,16,2,1,0,1,3,2,22,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,16,3,1,0,0,0,0,0,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,9,1,2,0,1,3,1,113,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,9,2,2,1,2,2,3,11,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1N6KOFeEBGI86cC,2,9,3,2,0,0,0,0,0,NA,3,3,NA,NA,2,NA,NA,NA,2026-06-23T11:57:16Z,1
R_1NZWfmOBuMKrIRo,2,10,1,2,0,2,3,3,113,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,10,2,2,1,3,1,1,11,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,10,3,2,0,0,0,0,0,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,11,1,3,0,2,3,1,11,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,11,2,3,0,3,1,3,113,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,11,3,3,1,0,0,0,0,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,12,1,2,0,1,1,3,11,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,12,2,2,1,3,3,2,113,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,12,3,2,0,0,0,0,0,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,13,1,3,0,3,1,2,22,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,13,2,3,0,1,2,1,84,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,13,3,3,1,0,0,0,0,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,14,1,2,0,3,3,1,22,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,14,2,2,1,1,2,3,84,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,14,3,2,0,0,0,0,0,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,15,1,3,0,3,1,3,113,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,15,2,3,0,2,3,2,11,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,15,3,3,1,0,0,0,0,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,16,1,3,0,2,1,1,84,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,16,2,3,0,1,3,2,22,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,16,3,3,1,0,0,0,0,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,9,1,1,1,1,3,1,113,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,9,2,1,0,2,2,3,11,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1NZWfmOBuMKrIRo,2,9,3,1,0,0,0,0,0,NA,3,5,NA,NA,2,NA,NA,NA,2026-07-15T13:31:01Z,1
R_1SM4on1OzUDpb4q,2,10,1,3,0,2,3,3,113,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,10,2,3,0,3,1,1,11,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,10,3,3,1,0,0,0,0,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,11,1,2,0,2,3,1,11,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,11,2,2,1,3,1,3,113,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,11,3,2,0,0,0,0,0,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,12,1,3,0,1,1,3,11,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,12,2,3,0,3,3,2,113,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,12,3,3,1,0,0,0,0,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,13,1,1,1,3,1,2,22,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,13,2,1,0,1,2,1,84,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,13,3,1,0,0,0,0,0,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,14,1,2,0,3,3,1,22,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,14,2,2,1,1,2,3,84,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,14,3,2,0,0,0,0,0,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,15,1,2,0,3,1,3,113,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,15,2,2,1,2,3,2,11,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,15,3,2,0,0,0,0,0,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,16,1,1,1,2,1,1,84,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,16,2,1,0,1,3,2,22,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,16,3,1,0,0,0,0,0,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,9,1,2,0,1,3,1,113,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,9,2,2,1,2,2,3,11,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1SM4on1OzUDpb4q,2,9,3,2,0,0,0,0,0,NA,2,6,NA,NA,4,Lacus consequat ante! Enim elit sollicitudin! Facilisis dapibus elementum volutpat! Egestas vulputate per. Ligula.,NA,NA,2026-07-30T20:29:58Z,1
R_1TjzFMUsDKGDuMC,2,10,1,2,0,2,3,3,113,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,10,2,2,1,3,1,1,11,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,10,3,2,0,0,0,0,0,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,11,1,2,0,2,3,1,11,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,11,2,2,1,3,1,3,113,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,11,3,2,0,0,0,0,0,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,12,1,3,0,1,1,3,11,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,12,2,3,0,3,3,2,113,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,12,3,3,1,0,0,0,0,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,13,1,1,1,3,1,2,22,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,13,2,1,0,1,2,1,84,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,13,3,1,0,0,0,0,0,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,14,1,1,1,3,3,1,22,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,14,2,1,0,1,2,3,84,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,14,3,1,0,0,0,0,0,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,15,1,1,1,3,1,3,113,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,15,2,1,0,2,3,2,11,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,15,3,1,0,0,0,0,0,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,16,1,1,1,2,1,1,84,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,16,2,1,0,1,3,2,22,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,16,3,1,0,0,0,0,0,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,9,1,1,1,1,3,1,113,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,9,2,1,0,2,2,3,11,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TjzFMUsDKGDuMC,2,9,3,1,0,0,0,0,0,NA,2,7,Accusamus nullam laoreet facilisis blandit purus. Elit dolorem! Ipsum iaculis consectetuer vitae erat.,6,3,NA,NA,NA,2026-07-30T22:53:45Z,1
R_1TzySVR5xWeZlbM,2,10,1,1,1,2,3,3,113,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,10,2,1,0,3,1,1,11,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,10,3,1,0,0,0,0,0,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,11,1,2,0,2,3,1,11,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,11,2,2,1,3,1,3,113,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,11,3,2,0,0,0,0,0,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,12,1,1,1,1,1,3,11,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,12,2,1,0,3,3,2,113,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,12,3,1,0,0,0,0,0,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,13,1,3,0,3,1,2,22,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,13,2,3,0,1,2,1,84,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,13,3,3,1,0,0,0,0,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,14,1,2,0,3,3,1,22,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,14,2,2,1,1,2,3,84,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,14,3,2,0,0,0,0,0,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,15,1,1,1,3,1,3,113,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,15,2,1,0,2,3,2,11,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,15,3,1,0,0,0,0,0,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,16,1,1,1,2,1,1,84,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,16,2,1,0,1,3,2,22,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,16,3,1,0,0,0,0,0,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,9,1,3,0,1,3,1,113,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,9,2,3,0,2,2,3,11,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1TzySVR5xWeZlbM,2,9,3,3,1,0,0,0,0,NA,2,2,NA,NA,1,NA,NA,NA,2026-07-15T13:31:02Z,1
R_1Xs52OlD6EBpuaW,1,1,1,3,0,1,2,1,84,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,1,2,3,0,2,3,3,56,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,1,3,3,1,0,0,0,0,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,2,1,1,1,2,3,3,56,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,2,2,1,0,3,2,2,56,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,2,3,1,0,0,0,0,0,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,3,1,2,0,3,2,1,113,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,3,2,2,1,1,1,3,22,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,3,3,2,0,0,0,0,0,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,4,1,1,1,2,2,2,84,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,4,2,1,0,1,3,1,56,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,4,3,1,0,0,0,0,0,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,5,1,2,0,1,2,2,11,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,5,2,2,1,2,1,1,11,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,5,3,2,0,0,0,0,0,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,6,1,3,0,3,2,3,22,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,6,2,3,0,2,1,2,113,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,6,3,3,1,0,0,0,0,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,7,1,1,1,3,3,2,56,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,7,2,1,0,2,2,1,84,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
R_1Xs52OlD6EBpuaW,1,7,3,1,0,0,0,0,0,NA,3,1,NA,NA,1,NA,NA,NA,2026-06-23T11:57:15Z,1
